,song,artist
0,Flowers,Miley Cyrus
1,Kill Bill,SZA
2,Creepin',"Metro Boomin, The Weeknd & 21 Savage"
3,Anti-Hero,Taylor Swift
4,Unholy,Sam Smith & Kim Petras
5,Die For You,The Weeknd
6,I'm Good (Blue),David Guetta & Bebe Rexha
7,Rich Flex,Drake & 21 Savage
8,As It Was,Harry Styles
9,Just Wanna Rock,Lil Uzi Vert
10,Made You Look,Meghan Trainor
11,Golden Hour,JVKE
12,Under The Influence,Chris Brown
13,Something In The Orange,Zach Bryan
14,Cuff It,Beyonce
15,Rock And A Hard Place,Bailey Zimmerman
16,Thank God,Kane Brown With Katelyn Brown
17,You Proof,Morgan Wallen
18,Lavender Haze,Taylor Swift
19,Bad Habit,Steve Lacy
20,Thought You Should Know,Morgan Wallen
21,"Bzrp Music Sessions, Vol. 53",Bizarrap & Shakira
22,Escapism,RAYE Featuring 070 Shake
23,"Going, Going, Gone",Luke Combs
24,Superhero (Heroes & Villains),"Metro Boomin, Future & Chris Brown"
25,Calm Down,Rema & Selena Gomez
26,Last Night,Morgan Wallen
27,Until I Found You,Stephen Sanchez
28,Wait In The Truck,HARDY Featuring Lainey Wilson
29,The Kind Of Love We Make,Luke Combs
30,I Like You (A Happier Song),Post Malone Featuring Doja Cat
31,Shirt,SZA
32,Heart Like A Truck,Lainey Wilson
33,Wait For U,Future Featuring Drake & Tems
34,Snooze,SZA
35,Sure Thing,Miguel
36,Bebe Dame,Fuerza Regida X Grupo Frontera
37,Players,Coi Leray
38,Tomorrow 2,GloRilla & Cardi B
39,Love Again,The Kid LAROI
40,She Had Me At Heads Carolina,Cole Swindell
41,Dawns,Zach Bryan Featuring Maggie Rogers
42,Whiskey On You,Nate Smith
43,Super Freaky Girl,Nicki Minaj
44,Nobody Gets Me,SZA
45,Unstoppable,Sia
46,What My World Spins Around,Jordan Davis
47,Sunroof,Nicky Youre & dazy
48,I Ain't Worried,OneRepublic
49,About Damn Time,Lizzo
50,Lift Me Up,Rihanna
51,Que Vuelvas,Carin Leon X Grupo Frontera
52,Low,SZA
53,One Thing At A Time,Morgan Wallen
54,Tennessee Orange,Megan Moroney
55,Bloody Mary,Lady Gaga
56,What He Didn't Do,Carly Pearce
57,I Wrote The Book,Morgan Wallen
58,Freestyle,Lil Baby
59,Handle On You,Parker McCollum
60,Everything I Love,Morgan Wallen
61,Wild As Her,Corey Kent
62,Forget Me,Lewis Capaldi
63,Growin' Up And Gettin' Old,Luke Combs
64,Here With Me,d4vd
65,The Color Violet,Tory Lanez
66,Spin Bout U,Drake & 21 Savage
67,Blind,SZA
68,Love You Better,Future
69,La Bachata,Manuel Turizo
70,I'm Not Here To Make Friends,Sam Smith
71,Nonsense,Sabrina Carpenter
72,No Se Va,Grupo Frontera
73,10:35,Tiesto Featuring Tate McRae
74,Snap,Rosa Linn
75,Shut Up My Moms Calling,Hotel Ugly
76,OMG,NewJeans
77,Love Language,SZA
78,AMG,"Gabito Ballesteros, Peso Pluma & Natanael Cano"
79,The Black Seminole.,Lil Yachty
80,You Didn't,Brett Young
81,I Wish You Roses,Kali Uchis
82,La Jumpa,Arcangel & Bad Bunny
83,Too Many Nights,Metro Boomin Featuring Don Toliver & Future
84,Do It Again,NLE Choppa & 2Rare
85,Fin de Semana,Junior H X Oscar Maydon
86,Circo Loco,Drake & 21 Savage
87,That's What Tequila Does,Jason Aldean
88,Back End,Finesse2Tymes
89,Ditto,NewJeans
90,Human,Cody Johnson
91,Tennessee Fan,Morgan Wallen
92,Knight Crawler,Trippie Redd & Juice WRLD
93,California Breeze,Lil Baby
94,Next Thing You Know,Jordan Davis
95,Hey Mor,Ozuna Featuring Feid
96,Gato de Noche,Nengo Flow & Bad Bunny
97,Heart To Heart,Mac DeMarco
98,Never Gonna Not Dance Again,P!nk
99,Dancin' In The Country,Tyler Hubbard
